,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
0,Afghanistan,0,3,2008,3.723589897,7.302573681,0.450662315,50.5,0.718114316,0.173169285,0.88168633,0.414297044,0.25819549,0.61207211,Asia,69.2,95.7,259.806,0.028,64,23,22.5,64,64,0.02,399,27.72,18.8,18.9,3,0,1,59.9
1,Afghanistan,0,3,2009,4.401778221,7.472446442,0.55230844,50.79999924,0.678896368,0.195469126,0.850035429,0.481421441,0.23709242,0.611545205,Asia,66.7,91.7,254.9705,0.01,63,24,22.6,63,63,0.02,473,28.39,18.6,18.7,3.1,0,1,60.5
2,Afghanistan,1,3,2010,4.75838089,7.579182625,0.539075196,51.09999847,0.60012722,0.125859469,0.706766069,0.516906679,0.275323808,0.299357414,Asia,64.2,87.8,250.135,0.02,66,29,22.7,66,66,0.02,526,29.19,18.4,18.4,3.2,0,1,61
3,Afghanistan,1,3,2011,3.83171916,7.552006245,0.521103561,51.40000153,0.495901406,0.167722777,0.731108546,0.479834676,0.267174691,0.307385713,Asia,61.8,84,245.3,0.01,68,31,22.8,68,68,0.02,512,30.12,18.2,18.2,3.3,0,1,61.6
4,Afghanistan,1,3,2012,3.782937527,7.637953281,0.520636737,51.70000076,0.530935049,0.241247073,0.775619805,0.613512814,0.267919123,0.435440153,Asia,59.5,80.3,240.464,0.01,67,33,22.9,67,67,0.03,558,31.16,17.9,18,3.4,0,1,62.1
5,Afghanistan,1,3,2013,3.572100401,7.657502651,0.48355186,52,0.577955365,0.066343978,0.8232041,0.547416985,0.273328096,0.482847273,Asia,57.3,76.9,236.221,0.01,64,38,23,64,64,0.03,569,32.27,17.7,17.7,3.5,0,1,62.5
80,Bangladesh,0,3,2008,5.052278519,7.885724068,0.466553479,60.15999985,0.606012166,-0.04347172,0.801819921,0.544638395,0.231860757,0.761932433,Asia,42.7,54.7,145.5585,0.003,96,65,20.9,96,96,0.01,897,144.3,19.3,19.9,4.8,0,1,69.1
31,Bangladesh,0,3,2009,5.08285141,7.923775673,0.527813554,60.68000031,0.630931079,-0.074387789,0.776003957,0.505846858,0.223253846,0.829859614,Asia,40.7,51.8,143.4765,0.003,97,59,21,97,97,0.01,932,145.92,19.1,19.7,4.8,0,1,69.5
32,Bangladesh,1,3,2010,4.858481407,7.966748714,0.549398482,61.20000076,0.659005642,-0.016109159,0.773530483,0.495740086,0.292425215,0.646872878,Asia,38.9,49.1,141.3945,0,94,65,21.1,94,94,0.01,973,147.58,18.9,19.4,4.9,0,1,69.9
33,Bangladesh,1,3,2011,4.985649109,8.017951012,0.606459022,61.72000122,0.83799535,-0.069296263,0.757002652,0.501307309,0.234981537,0.786452591,Asia,37.2,46.7,139.3125,0,96,71,21.2,96,96,0.01,1024,149.27,18.7,19.2,5.1,0,1,70.3
34,Bangladesh,1,3,2012,4.724443913,8.069586754,0.581765294,62.24000168,0.66768229,-0.034359492,0.764894426,0.537134707,0.183245391,0.705811918,Asia,35.6,44.4,137.2305,0,94,41,21.3,94,94,0.01,1078,151.01,18.5,19,5.1,0,1,70.6
35,Bangladesh,1,3,2013,4.660161018,8.116424561,0.530139685,62.75999832,0.741518021,-0.015594437,0.742774189,0.491930902,0.246052667,0.736026943,Asia,34,42.2,134.7385,0,96,82,21.4,96,96,0.01,1130,152.76,18.3,18.8,5.1,0,1,70.9
177,Cambodia,0,3,2008,4.462163925,7.878773212,0.619264305,58.31999969,0.914172947,0.045620102,0.888392031,0.599989057,0.335324019,0.737532258,Asia,43.2,51.3,202.626,1.35,91,49,21.4,91,91,0.22,867,13.88,11.2,11.4,3.9,0,1,65.4
56,Cambodia,0,3,2009,4.110625744,7.864644051,0.818258047,58.65999985,0.937233329,0.152675226,0.96477896,0.691364467,0.187686995,0.902666688,Asia,40.2,47.5,198.62,1.42,92,47,21.5,95,94,0.19,855,14.09,11.1,11.4,3.7,0,1,66
57,Cambodia,0,3,2010,4.141072273,7.907173157,0.69716382,59,0.940131187,0.350007176,0.895714462,0.66197139,0.421966344,0.895580769,Asia,37.3,43.8,194.613,2.16,89,48,21.6,90,89,0.16,892,14.31,11,11.3,4.4,0,1,66.6
58,Cambodia,0,3,2011,4.161225319,7.959593296,0.715518951,59.34000015,0.927462399,0.418592066,0.775355637,0.637012541,0.307868689,0.901219606,Asia,34.6,40.5,190.6065,2.4,88,52,21.7,91,88,0.13,940,14.54,11,11.2,4.4,0,1,67
59,Cambodia,1,3,2012,3.898706913,8.013871193,0.605528593,59.68000031,0.955595791,0.246767148,0.890136123,0.713434279,0.351858586,0.82517308,Asia,32.3,37.7,186.6,2.52,86,41,21.8,90,86,0.12,993,14.78,11,11.2,4.5,0,1,67.5
60,Cambodia,1,3,2013,3.674466848,8.068359375,0.650589585,60.02000046,0.940592945,0.163838625,0.811991632,0.669755757,0.44031167,0.775055826,Asia,30.3,35.3,182.9515,2.8,83,52,21.9,71,83,0.11,1048,15.03,11,11.1,4.6,0,1,67.9
187,Cameroon,0,3,2008,4.291800499,8.079182625,0.696715772,48.72000122,0.580257237,-0.072215065,0.945002794,0.612912178,0.31248498,0.314642787,Africa,72.7,117.6,368.451,5.5,84,64,23.8,82,84,2.27,1249,19.25,6.4,6.5,5.2,0,1,54.2
61,Cameroon,0,3,2009,4.741408348,8.077125549,0.728693902,49.15999985,0.698030412,-0.020263994,0.925447285,0.59187758,0.249821514,0.366200924,Africa,71.1,114.3,365.4865,5.72,80,64,23.9,79,80,2.13,1247,19.79,6.3,6.3,5.2,0,1,54.6
62,Cameroon,1,3,2010,4.554256916,8.078226089,0.758640707,49.59999847,0.792220175,-0.000821863,0.874718666,0.593696296,0.273786336,0.513922989,Africa,68.6,110.1,362.5215,5.88,84,64,24,83,84,1.87,1248,20.34,6.1,6.2,5.3,0,1,55.1
63,Cameroon,1,3,2011,4.433885098,8.084054947,0.737992823,50.04000092,0.816693783,-0.03149984,0.869615674,0.607725799,0.271676332,0.645140469,Africa,66.6,105.8,359.557,5.9,82,64,24,80,82,1.73,1255,20.91,6,6,5.5,0,1,55.6
