,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
6,Albania,0,2,2009,5.485469818,9.241250038,0.833046615,67.31999969,0.525223255,-0.157362878,0.863665402,0.564474463,0.279256523,,Rest of Europe,12.9,14.5,81.5235,5.79,98,98,26,98,98,0.03,3432,2.93,1.5,1.6,9.3,0,1,76.2
7,Albania,0,2,2010,5.268936634,9.282613754,0.73315227,67.59999847,0.568958402,-0.171783119,0.726261675,0.576076567,0.300060242,,Rest of Europe,11.8,13.3,80.9365,4.88,99,98,26.1,99,99,0.03,3577,2.91,1.4,1.5,9.3,0,1,76.6
8,Albania,0,2,2011,5.867421627,9.31043911,0.759433806,67.87999725,0.487496257,-0.204296395,0.877002597,0.565758884,0.256576508,,Rest of Europe,10.8,12.1,80.349,5.03,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,0,1,76.9
9,Albania,1,2,2012,5.510124207,9.326163292,0.784501791,68.16000366,0.601512134,-0.168579251,0.847675204,0.553473175,0.271393239,0.364893705,Rest of Europe,10,11.2,79.762,4.43,99,99,26.3,99,99,0.03,3736,2.9,1.3,1.4,9.6,0,1,77.3
10,Albania,1,2,2013,4.550647736,9.337965965,0.759476721,68.44000244,0.631830275,-0.126937956,0.862904966,0.54075098,0.338378578,0.338094711,Rest of Europe,9.3,10.4,78.243,4.28,99,99,26.4,99,99,0.03,3781,2.9,1.3,1.4,9.7,0,1,77.6
36,Armenia,0,2,2008,4.651972294,9.256032944,0.709485531,64.31999969,0.462156564,-0.216436863,0.876099229,0.486230165,0.384891808,0.464447111,Rest of Europe,18.1,20.3,142.5365,3.96,89,94,25.9,91,89,0.08,3335,2.91,2,2.1,11,0,1,72.9
16,Armenia,0,2,2009,4.177581787,9.110783577,0.680006921,64.55999756,0.441412747,-0.215092748,0.881887496,0.479002982,0.411279917,0.37395224,Rest of Europe,17.2,19.2,139.3615,3.97,93,96,26,94,93,0.08,2884,2.89,2,2.1,11.1,0,1,73.1
17,Armenia,0,2,2010,4.367811203,9.136284828,0.660342336,64.80000305,0.459256709,-0.177155286,0.890629232,0.4367477,0.42649585,0.355544627,Rest of Europe,16.3,18.3,136.1865,4.23,94,97,26,96,94,0.08,2959,2.88,2,2.1,11.1,0,1,73.3
18,Armenia,0,2,2011,4.260491371,9.182483673,0.705108464,65.04000092,0.464524716,-0.226533249,0.874601007,0.410856694,0.45907408,0.335884422,Rest of Europe,15.5,17.3,133.0115,4.07,95,98,26.1,96,95,0.08,3099,2.88,2,2.1,11.2,0,1,73.6
19,Armenia,1,2,2012,4.319711685,9.249335289,0.676446438,65.27999878,0.501863778,-0.216316044,0.892544389,0.469874054,0.463855445,0.285362303,Rest of Europe,14.7,16.4,129.837,3.89,95,97,26.1,96,95,0.08,3313,2.88,2,2.1,11.3,0,1,73.8
20,Armenia,1,2,2013,4.277191162,9.277183533,0.723260045,65.51999664,0.504081845,-0.196634799,0.899796784,0.502904475,0.449949831,0.260400474,Rest of Europe,14,15.6,128.387,3.92,95,97,26.2,96,95,0.08,3407,2.9,2.1,2.1,11.4,0,1,74.1
63,Azerbaijan,0,2,2008,4.817189217,9.447179794,0.684267223,61.13999939,0.601043284,-0.029483547,0.715124726,0.560817659,0.22679542,0.792291224,Asia,36.8,42.7,139.7585,1.12,68,79,26.2,85,81,0.12,4693,8.76,2.8,2.9,10.2,0,1,70.2
21,Azerbaijan,0,2,2009,4.573725224,9.515311241,0.735970318,61.41999817,0.498138398,-0.086927414,0.753849745,0.522001684,0.233942479,0.77425164,Asia,34.7,39.9,137.841,1.92,74,83,26.3,84,81,0.1,5024,8.95,2.8,2.9,10.7,0,1,70.6
22,Azerbaijan,0,2,2010,4.218610764,9.552669525,0.68700099,61.70000076,0.501071095,-0.123460375,0.858346641,0.516271651,0.271873325,0.697391331,Asia,32.5,37.3,135.9235,0.99,80,89,26.4,85,81,0.09,5215,9.05,2.8,2.9,10.7,0,1,70.9
23,Azerbaijan,0,2,2011,4.680469513,9.540638924,0.725193918,61.97999954,0.537484288,-0.105962902,0.795119047,0.521693528,0.258117318,0.741815805,Asia,30.5,34.9,134.006,0.6,84,92,26.5,91,87,0.08,5153,9.17,2.8,2.9,10.7,0,1,71.2
24,Azerbaijan,1,2,2012,4.910771847,9.548772812,0.761873245,62.25999832,0.598859072,-0.141354471,0.763154805,0.523312867,0.266093403,0.707989275,Asia,28.5,32.5,132.0885,0.52,88,95,26.6,92,89,0.07,5195,9.3,2.8,2.8,10.7,0,1,71.5
25,Azerbaijan,1,2,2013,5.481178284,9.592310905,0.769690156,62.54000092,0.671956956,-0.169202864,0.698819578,0.516089082,0.242455453,0.748923719,Asia,26.7,30.3,129.6915,0.52,93,98,26.7,96,93,0.06,5426,9.42,2.8,2.8,10.8,0,1,71.8
90,Belarus,0,2,2008,5.463332176,9.676768303,0.903700352,61.18000031,0.639923871,-0.22155188,0.69649595,,0.245659292,0.533608973,Rest of Europe,5.1,6.6,222.907,14.58,98,99,26.2,98,97,0.2,5181,9.53,2.1,2.3,11.3,0,1,70.5
36,Belarus,0,2,2009,5.56413126,9.681225777,0.907777846,61.74000168,0.679292619,-0.204532266,0.67554307,0.544300735,0.223291501,0.548332989,Rest of Europe,4.6,6.1,221.6415,13.98,98,99,26.3,98,96,0.21,5204,9.5,2.1,2.2,11.9,0,1,70.4
37,Belarus,0,2,2010,5.525923252,9.758502007,0.918000162,62.29999924,0.700064421,-0.164210439,0.70612061,0.531847715,0.208272159,0.589527249,Rest of Europe,4.3,5.6,223.1685,14.43,96,99,26.3,99,98,0.22,5622,9.48,2,2.2,12,0,1,70.4
38,Belarus,0,2,2011,5.225307941,9.813235283,0.909887791,62.86000061,0.656010866,-0.169665605,0.671938658,0.493381172,0.249455392,,Rest of Europe,3.9,5.2,225.4045,14.5,98,99,26.4,98,98,0.23,5938,9.46,2,2.1,12,0,1,70.6
